term	articles	proposal
manodvārikajavana	1	keep in Pāḷi (drafts); IEBH to fix a rendering
manopavicāra	1	keep in Pāḷi (drafts); IEBH to fix a rendering
manoviññāṇadhātu	1	keep in Pāḷi (drafts); IEBH to fix a rendering
methunarāga	1	keep in Pāḷi (drafts); IEBH to fix a rendering
mukhyattha	1	keep in Pāḷi (drafts); IEBH to fix a rendering
niccasamāsa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
nikāya	1	keep in Pāḷi (drafts); IEBH to fix a rendering
nissaya	1	keep in Pāḷi (drafts); IEBH to fix a rendering
nissayapaccaya	1	keep in Pāḷi (drafts); IEBH to fix a rendering
niyama	1	keep in Pāḷi (drafts); IEBH to fix a rendering
nāmakkhandha	1	keep in Pāḷi (drafts); IEBH to fix a rendering
odanakummāsa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
opasilesikādhāra	1	keep in Pāḷi (drafts); IEBH to fix a rendering
padaṭṭhāna	1	keep in Pāḷi (drafts); IEBH to fix a rendering
padālaṅkāra	1	keep in Pāḷi (drafts); IEBH to fix a rendering
paramatthadhamma	1	keep in Pāḷi (drafts); IEBH to fix a rendering
paravādī	1	keep in Pāḷi (drafts); IEBH to fix a rendering
paribhoga	1	keep in Pāḷi (drafts); IEBH to fix a rendering
parikkhāra	1	keep in Pāḷi (drafts); IEBH to fix a rendering
pariyāya	1	keep in Pāḷi (drafts); IEBH to fix a rendering
passaddhi	1	keep in Pāḷi (drafts); IEBH to fix a rendering
pasāda	1	keep in Pāḷi (drafts); IEBH to fix a rendering
pathavīdhātu	1	keep in Pāḷi (drafts); IEBH to fix a rendering
pavattasīsa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
paññatti	1	keep in Pāḷi (drafts); IEBH to fix a rendering
paññindriya	1	keep in Pāḷi (drafts); IEBH to fix a rendering
paṁsukūla	1	keep in Pāḷi (drafts); IEBH to fix a rendering
paṇḍaka	1	keep in Pāḷi (drafts); IEBH to fix a rendering
paṭibhāga	1	keep in Pāḷi (drafts); IEBH to fix a rendering
paṭibhāganimitta	1	keep in Pāḷi (drafts); IEBH to fix a rendering
paṭisambhidā	1	keep in Pāḷi (drafts); IEBH to fix a rendering
petī	1	keep in Pāḷi (drafts); IEBH to fix a rendering
pubbanimitta	1	keep in Pāḷi (drafts); IEBH to fix a rendering
purohita	1	keep in Pāḷi (drafts); IEBH to fix a rendering
pācakatejodhātu	1	keep in Pāḷi (drafts); IEBH to fix a rendering
pārājikuddesa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
pātimokkhuddesa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
pāḷi	1	keep in Pāḷi (drafts); IEBH to fix a rendering
pītisukha	1	keep in Pāḷi (drafts); IEBH to fix a rendering
rakkhasa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
rāgacarita	1	keep in Pāḷi (drafts); IEBH to fix a rendering
rūpabhava	1	keep in Pāḷi (drafts); IEBH to fix a rendering
rūpajjhānasamādhi	1	keep in Pāḷi (drafts); IEBH to fix a rendering
rūparāga	1	keep in Pāḷi (drafts); IEBH to fix a rendering
sabbaññutañāṇa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
saddhivihārika	1	keep in Pāḷi (drafts); IEBH to fix a rendering
saddhānusārī	1	keep in Pāḷi (drafts); IEBH to fix a rendering
samatha	1	keep in Pāḷi (drafts); IEBH to fix a rendering
sambojjhaṅga	1	keep in Pāḷi (drafts); IEBH to fix a rendering
sammasitajjhāna	1	keep in Pāḷi (drafts); IEBH to fix a rendering
sammādiṭṭhi	1	keep in Pāḷi (drafts); IEBH to fix a rendering
sampayutta	1	keep in Pāḷi (drafts); IEBH to fix a rendering
samphassa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
samāsa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
sandiṭṭhika	1	keep in Pāḷi (drafts); IEBH to fix a rendering
sanniṭṭhāna	1	keep in Pāḷi (drafts); IEBH to fix a rendering
satisampajañña	1	keep in Pāḷi (drafts); IEBH to fix a rendering
sattaloka	1	keep in Pāḷi (drafts); IEBH to fix a rendering
saññīvāda	1	keep in Pāḷi (drafts); IEBH to fix a rendering
saṁsaya	1	keep in Pāḷi (drafts); IEBH to fix a rendering
saṁvāsa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
saṅketattha	1	keep in Pāḷi (drafts); IEBH to fix a rendering
saṅkhata	1	keep in Pāḷi (drafts); IEBH to fix a rendering
saṅkhāranimitta	1	keep in Pāḷi (drafts); IEBH to fix a rendering
saṅkhārupekkhāñāṇa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
sikkhamānā	1	keep in Pāḷi (drafts); IEBH to fix a rendering
sokaparideva	1	keep in Pāḷi (drafts); IEBH to fix a rendering
sucarita	1	keep in Pāḷi (drafts); IEBH to fix a rendering
sukha	1	keep in Pāḷi (drafts); IEBH to fix a rendering
sukhadukkha	1	keep in Pāḷi (drafts); IEBH to fix a rendering
sukhindriya	1	keep in Pāḷi (drafts); IEBH to fix a rendering
suta	1	keep in Pāḷi (drafts); IEBH to fix a rendering
suttanta	1	keep in Pāḷi (drafts); IEBH to fix a rendering
sīsa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
taddhammūpacāra	1	keep in Pāḷi (drafts); IEBH to fix a rendering
taddhita	1	keep in Pāḷi (drafts); IEBH to fix a rendering
taṇhāmāna	1	keep in Pāḷi (drafts); IEBH to fix a rendering
tihetukapaṭisandhi	1	keep in Pāḷi (drafts); IEBH to fix a rendering
ubbāhika	1	keep in Pāḷi (drafts); IEBH to fix a rendering
ubbāhikakamma	1	keep in Pāḷi (drafts); IEBH to fix a rendering
ubhatopaññatti	1	keep in Pāḷi (drafts); IEBH to fix a rendering
ubhatosaṅgha	1	keep in Pāḷi (drafts); IEBH to fix a rendering
uddesabhatta	1	keep in Pāḷi (drafts); IEBH to fix a rendering
uddesalābha	1	keep in Pāḷi (drafts); IEBH to fix a rendering
uddesapāṭha	1	keep in Pāḷi (drafts); IEBH to fix a rendering
uddesavāra	1	keep in Pāḷi (drafts); IEBH to fix a rendering
uddhaccacetasika	1	keep in Pāḷi (drafts); IEBH to fix a rendering
uddhaccakukkuccanīvaraṇa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
uddhaggalomatā	1	keep in Pāḷi (drafts); IEBH to fix a rendering
uddhalomī	1	keep in Pāḷi (drafts); IEBH to fix a rendering
uddhumātakakammaṭṭhāna	1	keep in Pāḷi (drafts); IEBH to fix a rendering
uggahanimitta	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upabhoga	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upacayarūpa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upacārajhāna	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upacārajjhānasamādhi	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upacārajjhānasaññā	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upacāramettā	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upacārapaññā	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upacārasamādhibhāvanā	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upacārasamādhijavana	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upacārañāṇa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upadhivipatti	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upajjhāyalesa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upajjhāyavatta	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upakkamadhātu	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upameyyattha	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upamākāra	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upamānapubbapadabahubbīhisamāsa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upanayana	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upanidhāpaññatti	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upanikkhittakapaññatti	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upanissayakoṭi	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upanāha	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upapadasamāsa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upaparikkhasutta	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upapatti	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upapāramī	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upariguṇa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upasamapariyāya	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upasampadakammavācā	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upasampadākammavācā	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upasampanna	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upasamānussati	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upasana	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upassayasikkhāpada	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upasāra	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upatthambha	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upaṭṭhāna	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upekkhābrahmavihāra	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upekkhādhātu	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upekkhāpaṭisandhi	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upekkhāsamāpatti	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upekkhāsati	1	keep in Pāḷi (drafts); IEBH to fix a rendering
uppannuppajjamāna	1	keep in Pāḷi (drafts); IEBH to fix a rendering
uppādakkhaṇa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
uppādapaññatti	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upādinnaduka	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upādinnakaduka	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upādinnakarūpa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upādinnakkhandha	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upādinnattika	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upādinnojā	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upādinnupādāniyattika	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upādiṇṇadhātu	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upādiṇṇakadhātu	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upādiṇṇakakhandha	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upādiṇṇakavedanā	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upādiṇṇakhandha	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upādiṇṇakkhandha	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upādā	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upādāduka	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upādānacatukka	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upādānaduka	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upādānagocchaka	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upādānarūpa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upādāyarūpa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upāyamanasikāra	1	keep in Pāḷi (drafts); IEBH to fix a rendering
uyyodhikasikkhāpada	1	keep in Pāḷi (drafts); IEBH to fix a rendering
uṭṭhāna	1	keep in Pāḷi (drafts); IEBH to fix a rendering
vacī	1	keep in Pāḷi (drafts); IEBH to fix a rendering
vacīkamma	1	keep in Pāḷi (drafts); IEBH to fix a rendering
vassa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
vaṭṭa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
vibhatti	1	keep in Pāḷi (drafts); IEBH to fix a rendering
vicikicchā	1	keep in Pāḷi (drafts); IEBH to fix a rendering
vikappa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
voṭṭhabbana	1	keep in Pāḷi (drafts); IEBH to fix a rendering
vāyodhātu	1	keep in Pāḷi (drafts); IEBH to fix a rendering
yojana	1	keep in Pāḷi (drafts); IEBH to fix a rendering
yoniso	1	keep in Pāḷi (drafts); IEBH to fix a rendering
ñatti	1	keep in Pāḷi (drafts); IEBH to fix a rendering
ñattidutiyakammavācā	1	keep in Pāḷi (drafts); IEBH to fix a rendering
ādhāra	1	keep in Pāḷi (drafts); IEBH to fix a rendering
āhāra	1	keep in Pāḷi (drafts); IEBH to fix a rendering
āhāre paṭikūlasaññā	1	keep in Pāḷi (drafts); IEBH to fix a rendering
ālokasaññā	1	keep in Pāḷi (drafts); IEBH to fix a rendering
ānāpānassati	1	keep in Pāḷi (drafts); IEBH to fix a rendering
āvajjanupekkhā	1	keep in Pāḷi (drafts); IEBH to fix a rendering
ṭhānūpacāra	1	keep in Pāḷi (drafts); IEBH to fix a rendering
ṭīkā	1	keep in Pāḷi (drafts); IEBH to fix a rendering
