term	articles	proposal
arahattamaggasamādhi	1	keep in Pāḷi (drafts); IEBH to fix a rendering
ariyasāvaka	1	keep in Pāḷi (drafts); IEBH to fix a rendering
arūpabhava	1	keep in Pāḷi (drafts); IEBH to fix a rendering
arūpabhāvanā	1	keep in Pāḷi (drafts); IEBH to fix a rendering
arūpabrahmaloka	1	keep in Pāḷi (drafts); IEBH to fix a rendering
arūpacuti	1	keep in Pāḷi (drafts); IEBH to fix a rendering
arūpakiriyā	1	keep in Pāḷi (drafts); IEBH to fix a rendering
arūpāvacarajhāna	1	keep in Pāḷi (drafts); IEBH to fix a rendering
asaṅkhata	1	keep in Pāḷi (drafts); IEBH to fix a rendering
asekha	1	keep in Pāḷi (drafts); IEBH to fix a rendering
asekkha	1	keep in Pāḷi (drafts); IEBH to fix a rendering
asubhakammaṭṭhāna	1	keep in Pāḷi (drafts); IEBH to fix a rendering
attanopada	1	keep in Pāḷi (drafts); IEBH to fix a rendering
aññindriya	1	keep in Pāḷi (drafts); IEBH to fix a rendering
aṭṭhakanipāta	1	keep in Pāḷi (drafts); IEBH to fix a rendering
aṭṭhaṅgika	1	keep in Pāḷi (drafts); IEBH to fix a rendering
aṭṭhuppatti	1	keep in Pāḷi (drafts); IEBH to fix a rendering
bahiddhā	1	keep in Pāḷi (drafts); IEBH to fix a rendering
bhaṅgakhaṇa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
bhāva	1	keep in Pāḷi (drafts); IEBH to fix a rendering
bhūtagāmasikkhāpada	1	keep in Pāḷi (drafts); IEBH to fix a rendering
bhūtarūpa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
bojjhaṅga	1	keep in Pāḷi (drafts); IEBH to fix a rendering
cakkavatti	1	keep in Pāḷi (drafts); IEBH to fix a rendering
cakkhu	1	keep in Pāḷi (drafts); IEBH to fix a rendering
catubhūmika	1	keep in Pāḷi (drafts); IEBH to fix a rendering
catujaojā	1	keep in Pāḷi (drafts); IEBH to fix a rendering
catusamuṭṭhānikarūpa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
catutthajhānasamāpatti	1	keep in Pāḷi (drafts); IEBH to fix a rendering
cetovimutti	1	keep in Pāḷi (drafts); IEBH to fix a rendering
chandarāga	1	keep in Pāḷi (drafts); IEBH to fix a rendering
chaḷabhiñña	1	keep in Pāḷi (drafts); IEBH to fix a rendering
cittajarūpa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
cittajavipallāsasadda	1	keep in Pāḷi (drafts); IEBH to fix a rendering
cittādhipati	1	keep in Pāḷi (drafts); IEBH to fix a rendering
dhammacakka	1	keep in Pāḷi (drafts); IEBH to fix a rendering
dhammārammaṇa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
duggatibhava	1	keep in Pāḷi (drafts); IEBH to fix a rendering
duka	1	keep in Pāḷi (drafts); IEBH to fix a rendering
dvanda	1	keep in Pāḷi (drafts); IEBH to fix a rendering
dvārabhūmi	1	keep in Pāḷi (drafts); IEBH to fix a rendering
dvāratika	1	keep in Pāḷi (drafts); IEBH to fix a rendering
dānakathā	1	keep in Pāḷi (drafts); IEBH to fix a rendering
ehibhikkhu	1	keep in Pāḷi (drafts); IEBH to fix a rendering
ekāsanika	1	keep in Pāḷi (drafts); IEBH to fix a rendering
gandhakuṭi	1	keep in Pāḷi (drafts); IEBH to fix a rendering
gandhārammaṇa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
gantha	1	keep in Pāḷi (drafts); IEBH to fix a rendering
garubhaṇḍa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
garuka	1	keep in Pāḷi (drafts); IEBH to fix a rendering
gotrabhuñāṇa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
hetu	1	keep in Pāḷi (drafts); IEBH to fix a rendering
hiri	1	keep in Pāḷi (drafts); IEBH to fix a rendering
hiyyattanī	1	keep in Pāḷi (drafts); IEBH to fix a rendering
hīnaduka	1	keep in Pāḷi (drafts); IEBH to fix a rendering
iddhividhañāṇa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
indriyabaddharūpa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
indriyabhūmi	1	keep in Pāḷi (drafts); IEBH to fix a rendering
indriyaparopariyañāṇa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
indriyapaññatti	1	keep in Pāḷi (drafts); IEBH to fix a rendering
indriyasaṁvarasīla	1	keep in Pāḷi (drafts); IEBH to fix a rendering
indriyasaṁyutta	1	keep in Pāḷi (drafts); IEBH to fix a rendering
indriyavagga	1	keep in Pāḷi (drafts); IEBH to fix a rendering
indriyavibhaṅga	1	keep in Pāḷi (drafts); IEBH to fix a rendering
indriyayamaka	1	keep in Pāḷi (drafts); IEBH to fix a rendering
iriyāpathasamasīsī	1	keep in Pāḷi (drafts); IEBH to fix a rendering
issāmacchariya	1	keep in Pāḷi (drafts); IEBH to fix a rendering
itthidāna	1	keep in Pāḷi (drafts); IEBH to fix a rendering
itthijotaka	1	keep in Pāḷi (drafts); IEBH to fix a rendering
itthikutta	1	keep in Pāḷi (drafts); IEBH to fix a rendering
itthindriyarūpa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
itthinimitta	1	keep in Pāḷi (drafts); IEBH to fix a rendering
itthākappa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
iṇaparibhoga	1	keep in Pāḷi (drafts); IEBH to fix a rendering
iṭṭha	1	keep in Pāḷi (drafts); IEBH to fix a rendering
iṭṭhamajjhattārammaṇa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
jhānavīthi	1	keep in Pāḷi (drafts); IEBH to fix a rendering
kalāpa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
kammasamuṭṭhāna	1	keep in Pāḷi (drafts); IEBH to fix a rendering
kappa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
kappiyabhaṇḍa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
kappiyakuṭi	1	keep in Pāḷi (drafts); IEBH to fix a rendering
karuṇā	1	keep in Pāḷi (drafts); IEBH to fix a rendering
kasiṇugghāṭimākāsa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
kaṇṭhaja	1	keep in Pāḷi (drafts); IEBH to fix a rendering
kaṭhina	1	keep in Pāḷi (drafts); IEBH to fix a rendering
khandhakavatta	1	keep in Pāḷi (drafts); IEBH to fix a rendering
khaya	1	keep in Pāḷi (drafts); IEBH to fix a rendering
kiriyamanodhātu	1	keep in Pāḷi (drafts); IEBH to fix a rendering
kopa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
koṭṭhāsakammaṭṭhāna	1	keep in Pāḷi (drafts); IEBH to fix a rendering
kuṭikārasikkhāpada	1	keep in Pāḷi (drafts); IEBH to fix a rendering
kāmacchanda	1	keep in Pāḷi (drafts); IEBH to fix a rendering
kāmarāgānusaya	1	keep in Pāḷi (drafts); IEBH to fix a rendering
kāmavitakka	1	keep in Pāḷi (drafts); IEBH to fix a rendering
kāmāsava	1	keep in Pāḷi (drafts); IEBH to fix a rendering
kāya	1	keep in Pāḷi (drafts); IEBH to fix a rendering
kāyasucarita	1	keep in Pāḷi (drafts); IEBH to fix a rendering
kāyikavīriya	1	keep in Pāḷi (drafts); IEBH to fix a rendering
lahuka	1	keep in Pāḷi (drafts); IEBH to fix a rendering
lakkhaṇaāpo	1	keep in Pāḷi (drafts); IEBH to fix a rendering
liṅgavipallāsa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
loka	1	keep in Pāḷi (drafts); IEBH to fix a rendering
lokiya	1	keep in Pāḷi (drafts); IEBH to fix a rendering
lokiyajhāna	1	keep in Pāḷi (drafts); IEBH to fix a rendering
lokiyasammāsati	1	keep in Pāḷi (drafts); IEBH to fix a rendering
lokuttaramagga	1	keep in Pāḷi (drafts); IEBH to fix a rendering
maggaphala	1	keep in Pāḷi (drafts); IEBH to fix a rendering
maggaphalasīla	1	keep in Pāḷi (drafts); IEBH to fix a rendering
maggasacca	1	keep in Pāḷi (drafts); IEBH to fix a rendering
maggasammāsati	1	keep in Pāḷi (drafts); IEBH to fix a rendering
maggasamādhi	1	keep in Pāḷi (drafts); IEBH to fix a rendering
maggasīla	1	keep in Pāḷi (drafts); IEBH to fix a rendering
maggañāṇa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
maggaṅga	1	keep in Pāḷi (drafts); IEBH to fix a rendering
mahaggata	1	keep in Pāḷi (drafts); IEBH to fix a rendering
mahākusala	1	keep in Pāḷi (drafts); IEBH to fix a rendering
mahāsāvaka	1	keep in Pāḷi (drafts); IEBH to fix a rendering
mahāvipāka	1	keep in Pāḷi (drafts); IEBH to fix a rendering
majjhimapaṭipadā	1	keep in Pāḷi (drafts); IEBH to fix a rendering
manoviññāṇadhātu	1	keep in Pāḷi (drafts); IEBH to fix a rendering
micchā	1	keep in Pāḷi (drafts); IEBH to fix a rendering
micchādiṭṭhi	1	keep in Pāḷi (drafts); IEBH to fix a rendering
micchājīva	1	keep in Pāḷi (drafts); IEBH to fix a rendering
micchāvitakka	1	keep in Pāḷi (drafts); IEBH to fix a rendering
micchāājīva	1	keep in Pāḷi (drafts); IEBH to fix a rendering
mukhyāmisa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
māra	1	keep in Pāḷi (drafts); IEBH to fix a rendering
mātikā	1	keep in Pāḷi (drafts); IEBH to fix a rendering
nekkhamma	1	keep in Pāḷi (drafts); IEBH to fix a rendering
nesajjika	1	keep in Pāḷi (drafts); IEBH to fix a rendering
nevasaññānāsaññāyatana	1	keep in Pāḷi (drafts); IEBH to fix a rendering
nicca	1	keep in Pāḷi (drafts); IEBH to fix a rendering
nidāna	1	keep in Pāḷi (drafts); IEBH to fix a rendering
nigaṇṭha	1	keep in Pāḷi (drafts); IEBH to fix a rendering
nimittaāpo	1	keep in Pāḷi (drafts); IEBH to fix a rendering
nipphannarūpa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
nissayapaccaya	1	keep in Pāḷi (drafts); IEBH to fix a rendering
nāga	1	keep in Pāḷi (drafts); IEBH to fix a rendering
nāmakkhandha	1	keep in Pāḷi (drafts); IEBH to fix a rendering
nāmakāya	1	keep in Pāḷi (drafts); IEBH to fix a rendering
nāmarūpa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
nāmayoga	1	keep in Pāḷi (drafts); IEBH to fix a rendering
nāmāhārapaccaya	1	keep in Pāḷi (drafts); IEBH to fix a rendering
okāsa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
okāsakāraka	1	keep in Pāḷi (drafts); IEBH to fix a rendering
opamma	1	keep in Pāḷi (drafts); IEBH to fix a rendering
paccavekkhaṇā	1	keep in Pāḷi (drafts); IEBH to fix a rendering
paccayasatti	1	keep in Pāḷi (drafts); IEBH to fix a rendering
paccayāhāra	1	keep in Pāḷi (drafts); IEBH to fix a rendering
paccupaṭṭhāna	1	keep in Pāḷi (drafts); IEBH to fix a rendering
padabhājanī	1	keep in Pāḷi (drafts); IEBH to fix a rendering
padhānasaṅkhāra	1	keep in Pāḷi (drafts); IEBH to fix a rendering
parassapada	1	keep in Pāḷi (drafts); IEBH to fix a rendering
paravādī	1	keep in Pāḷi (drafts); IEBH to fix a rendering
parikammabhāvanā	1	keep in Pāḷi (drafts); IEBH to fix a rendering
pariyāyāmisa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
pathavīdhātu	1	keep in Pāḷi (drafts); IEBH to fix a rendering
pañcadvāra	1	keep in Pāḷi (drafts); IEBH to fix a rendering
paññindriya	1	keep in Pāḷi (drafts); IEBH to fix a rendering
paṁsukūlika	1	keep in Pāḷi (drafts); IEBH to fix a rendering
paṭhamajhāna	1	keep in Pāḷi (drafts); IEBH to fix a rendering
paṭhamapurisa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
paṭhamāruppaviññāṇa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
paṭibhāga	1	keep in Pāḷi (drafts); IEBH to fix a rendering
paṭiccasamuppanna	1	keep in Pāḷi (drafts); IEBH to fix a rendering
paṭisandhikammajarūpa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
phalasīla	1	keep in Pāḷi (drafts); IEBH to fix a rendering
pubbantakappika	1	keep in Pāḷi (drafts); IEBH to fix a rendering
pubbenivāsa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
pubbenivāsānussati	1	keep in Pāḷi (drafts); IEBH to fix a rendering
pucchāvisajjanā	1	keep in Pāḷi (drafts); IEBH to fix a rendering
purejātapaccaya	1	keep in Pāḷi (drafts); IEBH to fix a rendering
pācittiyāpatti	1	keep in Pāḷi (drafts); IEBH to fix a rendering
rasa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
rukkhamūla	1	keep in Pāḷi (drafts); IEBH to fix a rendering
rūpadhātu	1	keep in Pāḷi (drafts); IEBH to fix a rendering
rūpajhāna	1	keep in Pāḷi (drafts); IEBH to fix a rendering
rūpataṇhā	1	keep in Pāḷi (drafts); IEBH to fix a rendering
rūpāhārapaccaya	1	keep in Pāḷi (drafts); IEBH to fix a rendering
rūpāvacara	1	keep in Pāḷi (drafts); IEBH to fix a rendering
sabba	1	keep in Pāḷi (drafts); IEBH to fix a rendering
sabbanāma	1	keep in Pāḷi (drafts); IEBH to fix a rendering
saddhindriya	1	keep in Pāḷi (drafts); IEBH to fix a rendering
sakadāgāmī	1	keep in Pāḷi (drafts); IEBH to fix a rendering
sakkāyadiṭṭhi	1	keep in Pāḷi (drafts); IEBH to fix a rendering
samathabhāvanā	1	keep in Pāḷi (drafts); IEBH to fix a rendering
samathavipassanā	1	keep in Pāḷi (drafts); IEBH to fix a rendering
samathavipassanāpaññā	1	keep in Pāḷi (drafts); IEBH to fix a rendering
sambandha	1	keep in Pāḷi (drafts); IEBH to fix a rendering
sammuti	1	keep in Pāḷi (drafts); IEBH to fix a rendering
sammutipaññatti	1	keep in Pāḷi (drafts); IEBH to fix a rendering
sammutiāpo	1	keep in Pāḷi (drafts); IEBH to fix a rendering
sammāpaṭipadā	1	keep in Pāḷi (drafts); IEBH to fix a rendering
sammāsambuddha	1	keep in Pāḷi (drafts); IEBH to fix a rendering
sammāsati	1	keep in Pāḷi (drafts); IEBH to fix a rendering
sampattibhava	1	keep in Pāḷi (drafts); IEBH to fix a rendering
samudayalobha	1	keep in Pāḷi (drafts); IEBH to fix a rendering
samādānacetanā	1	keep in Pāḷi (drafts); IEBH to fix a rendering
samāpajjana	1	keep in Pāḷi (drafts); IEBH to fix a rendering
samāsanta	1	keep in Pāḷi (drafts); IEBH to fix a rendering
sandhi	1	keep in Pāḷi (drafts); IEBH to fix a rendering
santīraṇa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
sapadānacārika	1	keep in Pāḷi (drafts); IEBH to fix a rendering
saraṇagamana	1	keep in Pāḷi (drafts); IEBH to fix a rendering
sarāga	1	keep in Pāḷi (drafts); IEBH to fix a rendering
sasambhāraāpo	1	keep in Pāḷi (drafts); IEBH to fix a rendering
sattāvāsa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
saṁvara	1	keep in Pāḷi (drafts); IEBH to fix a rendering
saṁvega	1	keep in Pāḷi (drafts); IEBH to fix a rendering
saṅgahavatthu	1	keep in Pāḷi (drafts); IEBH to fix a rendering
saṅghakamma	1	keep in Pāḷi (drafts); IEBH to fix a rendering
saṅghādisesa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
saṅgāyana	1	keep in Pāḷi (drafts); IEBH to fix a rendering
sekha	1	keep in Pāḷi (drafts); IEBH to fix a rendering
sekhiyāpatti	1	keep in Pāḷi (drafts); IEBH to fix a rendering
sikkhāpadasamuṭṭhāna	1	keep in Pāḷi (drafts); IEBH to fix a rendering
somanassasahagata	1	keep in Pāḷi (drafts); IEBH to fix a rendering
sotāpanna	1	keep in Pāḷi (drafts); IEBH to fix a rendering
sotāpatti	1	keep in Pāḷi (drafts); IEBH to fix a rendering
sotāyatana	1	keep in Pāḷi (drafts); IEBH to fix a rendering
sugatibhava	1	keep in Pāḷi (drafts); IEBH to fix a rendering
sukhasādhanasatti	1	keep in Pāḷi (drafts); IEBH to fix a rendering
sutamaya	1	keep in Pāḷi (drafts); IEBH to fix a rendering
sutamayañāṇa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
sādhu	1	keep in Pāḷi (drafts); IEBH to fix a rendering
sāsanabrahmacariya	1	keep in Pāḷi (drafts); IEBH to fix a rendering
sāsava	1	keep in Pāḷi (drafts); IEBH to fix a rendering
sīlakathā	1	keep in Pāḷi (drafts); IEBH to fix a rendering
taddhita	1	keep in Pāḷi (drafts); IEBH to fix a rendering
tadārammaṇa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
takka	1	keep in Pāḷi (drafts); IEBH to fix a rendering
taṇhālobha	1	keep in Pāḷi (drafts); IEBH to fix a rendering
tejodhātu	1	keep in Pāḷi (drafts); IEBH to fix a rendering
tiracchānakathā	1	keep in Pāḷi (drafts); IEBH to fix a rendering
tiracchānavijjā	1	keep in Pāḷi (drafts); IEBH to fix a rendering
tāluja	1	keep in Pāḷi (drafts); IEBH to fix a rendering
ubhatobyañjanaka	1	keep in Pāḷi (drafts); IEBH to fix a rendering
ucchinnapaññatti	1	keep in Pāḷi (drafts); IEBH to fix a rendering
uggahakosallañāṇa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upacāra	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upacārasamādhi	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upadhi	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upajjhāya	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upakkilesa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upanissaya	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upaṭṭhāna	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upekkhāsahagata	1	keep in Pāḷi (drafts); IEBH to fix a rendering
uppanna	1	keep in Pāḷi (drafts); IEBH to fix a rendering
upādāpaññatti	1	keep in Pāḷi (drafts); IEBH to fix a rendering
uttarapadatthappadhānasamāsa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
utujaojā	1	keep in Pāḷi (drafts); IEBH to fix a rendering
utujarūpa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
uṇhatejo	1	keep in Pāḷi (drafts); IEBH to fix a rendering
vacīsucarita	1	keep in Pāḷi (drafts); IEBH to fix a rendering
vatta	1	keep in Pāḷi (drafts); IEBH to fix a rendering
vaya	1	keep in Pāḷi (drafts); IEBH to fix a rendering
vaṇṇagandha	1	keep in Pāḷi (drafts); IEBH to fix a rendering
vaṭṭadukkha	1	keep in Pāḷi (drafts); IEBH to fix a rendering
vaṭṭagāmī	1	keep in Pāḷi (drafts); IEBH to fix a rendering
veneyya	1	keep in Pāḷi (drafts); IEBH to fix a rendering
vevacana	1	keep in Pāḷi (drafts); IEBH to fix a rendering
vibhatti	1	keep in Pāḷi (drafts); IEBH to fix a rendering
vibhaṅga	1	keep in Pāḷi (drafts); IEBH to fix a rendering
vicchā	1	keep in Pāḷi (drafts); IEBH to fix a rendering
vijjācaraṇasampadā	1	keep in Pāḷi (drafts); IEBH to fix a rendering
vijjādhara	1	keep in Pāḷi (drafts); IEBH to fix a rendering
vijjāmaya	1	keep in Pāḷi (drafts); IEBH to fix a rendering
vinayakamma	1	keep in Pāḷi (drafts); IEBH to fix a rendering
vinayapiṭaka	1	keep in Pāḷi (drafts); IEBH to fix a rendering
vipassanāpaññā	1	keep in Pāḷi (drafts); IEBH to fix a rendering
vipassanāviññāṇa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
vipāka	1	keep in Pāḷi (drafts); IEBH to fix a rendering
vipākakkhandha	1	keep in Pāḷi (drafts); IEBH to fix a rendering
vipākaphala	1	keep in Pāḷi (drafts); IEBH to fix a rendering
visabhāga	1	keep in Pāḷi (drafts); IEBH to fix a rendering
visayādhāra	1	keep in Pāḷi (drafts); IEBH to fix a rendering
viññāṇañcāyatana	1	keep in Pāḷi (drafts); IEBH to fix a rendering
viññāṇañcāyatanajhāna	1	keep in Pāḷi (drafts); IEBH to fix a rendering
viññāṇāhāra	1	keep in Pāḷi (drafts); IEBH to fix a rendering
vuṭṭhānagāminīvipassanā	1	keep in Pāḷi (drafts); IEBH to fix a rendering
vāda	1	keep in Pāḷi (drafts); IEBH to fix a rendering
vīriyadhātu	1	keep in Pāḷi (drafts); IEBH to fix a rendering
vīriyindriya	1	keep in Pāḷi (drafts); IEBH to fix a rendering
yabbahulakamma	1	keep in Pāḷi (drafts); IEBH to fix a rendering
yamaka	1	keep in Pāḷi (drafts); IEBH to fix a rendering
yoni	1	keep in Pāḷi (drafts); IEBH to fix a rendering
yāvakālika	1	keep in Pāḷi (drafts); IEBH to fix a rendering
ābhisamācārikasīla	1	keep in Pāḷi (drafts); IEBH to fix a rendering
ābhādhātu	1	keep in Pāḷi (drafts); IEBH to fix a rendering
ācariyavāda	1	keep in Pāḷi (drafts); IEBH to fix a rendering
ācayagāmittika	1	keep in Pāḷi (drafts); IEBH to fix a rendering
ācayagāmī	1	keep in Pāḷi (drafts); IEBH to fix a rendering
āciṇṇa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
āciṇṇakamma	1	keep in Pāḷi (drafts); IEBH to fix a rendering
ācāraariya	1	keep in Pāḷi (drafts); IEBH to fix a rendering
ācāragocara	1	keep in Pāḷi (drafts); IEBH to fix a rendering
ācārasīla	1	keep in Pāḷi (drafts); IEBH to fix a rendering
ācāravinaya	1	keep in Pāḷi (drafts); IEBH to fix a rendering
ādesī	1	keep in Pāḷi (drafts); IEBH to fix a rendering
ādhipateyyaṭṭha	1	keep in Pāḷi (drafts); IEBH to fix a rendering
āgamasandhi	1	keep in Pāḷi (drafts); IEBH to fix a rendering
āgamasuttanta	1	keep in Pāḷi (drafts); IEBH to fix a rendering
āgamādhigama	1	keep in Pāḷi (drafts); IEBH to fix a rendering
āgantukabhatta	1	keep in Pāḷi (drafts); IEBH to fix a rendering
āgantukabhavaṅga	1	keep in Pāḷi (drafts); IEBH to fix a rendering
āgantukavatta	1	keep in Pāḷi (drafts); IEBH to fix a rendering
āghātapaṭivinaya	1	keep in Pāḷi (drafts); IEBH to fix a rendering
āhārapaccaya	1	keep in Pāḷi (drafts); IEBH to fix a rendering
ājīvaka	1	keep in Pāḷi (drafts); IEBH to fix a rendering
ājīvavisuddhi	1	keep in Pāḷi (drafts); IEBH to fix a rendering
ājīvaṭṭhamakasīla	1	keep in Pāḷi (drafts); IEBH to fix a rendering
ākatigaṇa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
ākiñcaññasamāpatti	1	keep in Pāḷi (drafts); IEBH to fix a rendering
ākiñcaññāyatanasamāpatti	1	keep in Pāḷi (drafts); IEBH to fix a rendering
ākāra	1	keep in Pāḷi (drafts); IEBH to fix a rendering
ākārapaññatti	1	keep in Pāḷi (drafts); IEBH to fix a rendering
ākāsānañcāyatanasamāpatti	1	keep in Pāḷi (drafts); IEBH to fix a rendering
āloka	1	keep in Pāḷi (drafts); IEBH to fix a rendering
āmasanadukkaṭa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
āmisasikkhāpada	1	keep in Pāḷi (drafts); IEBH to fix a rendering
āneñjasamādhi	1	keep in Pāḷi (drafts); IEBH to fix a rendering
āneñjābhisaṅkhāra	1	keep in Pāḷi (drafts); IEBH to fix a rendering
ānisaṁsaphala	1	keep in Pāḷi (drafts); IEBH to fix a rendering
ānubhāva	1	keep in Pāḷi (drafts); IEBH to fix a rendering
āposaṁvaṭṭakappa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
ārambhadhātu	1	keep in Pāḷi (drafts); IEBH to fix a rendering
ārammaṇa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
ārammaṇaduka	1	keep in Pāḷi (drafts); IEBH to fix a rendering
ārammaṇapurejātapaccaya	1	keep in Pāḷi (drafts); IEBH to fix a rendering
ārammaṇattika	1	keep in Pāḷi (drafts); IEBH to fix a rendering
ārammaṇaāpo	1	keep in Pāḷi (drafts); IEBH to fix a rendering
ārammaṇūpanissayapaccaya	1	keep in Pāḷi (drafts); IEBH to fix a rendering
āraññaka	1	keep in Pāḷi (drafts); IEBH to fix a rendering
āruppakammaṭṭhāna	1	keep in Pāḷi (drafts); IEBH to fix a rendering
āruppasamāpatti	1	keep in Pāḷi (drafts); IEBH to fix a rendering
āsavacatukka	1	keep in Pāḷi (drafts); IEBH to fix a rendering
āsavagocchaka	1	keep in Pāḷi (drafts); IEBH to fix a rendering
āsittapaṇḍaka	1	keep in Pāḷi (drafts); IEBH to fix a rendering
āsā	1	keep in Pāḷi (drafts); IEBH to fix a rendering
āsādukkha	1	keep in Pāḷi (drafts); IEBH to fix a rendering
āvajjanavasībhāva	1	keep in Pāḷi (drafts); IEBH to fix a rendering
āvatti	1	keep in Pāḷi (drafts); IEBH to fix a rendering
āvāsamacchera	1	keep in Pāḷi (drafts); IEBH to fix a rendering
āya	1	keep in Pāḷi (drafts); IEBH to fix a rendering
āyatanaduka	1	keep in Pāḷi (drafts); IEBH to fix a rendering
āyatanakathā	1	keep in Pāḷi (drafts); IEBH to fix a rendering
āyatanapadesa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
āyatanapaññatti	1	keep in Pāḷi (drafts); IEBH to fix a rendering
āyatanapāḷi	1	keep in Pāḷi (drafts); IEBH to fix a rendering
āyatanavibhaṅga	1	keep in Pāḷi (drafts); IEBH to fix a rendering
āyatanayamaka	1	keep in Pāḷi (drafts); IEBH to fix a rendering
āyūhana	1	keep in Pāḷi (drafts); IEBH to fix a rendering
ṭhiti	1	keep in Pāḷi (drafts); IEBH to fix a rendering
ṭhānakaraṇa	1	keep in Pāḷi (drafts); IEBH to fix a rendering
